"Localitate","Judet","Agentie","KM"
"Berinta","Maramures","Baia Mare",""
"Bicaz","Maramures","Baia Mare","66"
"Bistra","Maramures","Sighetu Marmatiei","44"
"Blidari","Maramures","Baia Mare",""
"Bocicoel","Maramures","Sighetu Marmatiei","46"
"Bocicoiu Mare","Maramures","Sighetu Marmatiei",""
"Bogdan Voda","Maramures","Sighetu Marmatiei","40"
"Boiereni","Maramures","Baia Mare","45"
"Boiu Mare","Maramures","Baia Mare","45"
"Bontaieni","Maramures","Baia Mare",""
"Borcut","Maramures","Baia Mare","40"
"Borsa","Maramures","Sighetu Marmatiei","70"
"Botiza","Maramures","Sighetu Marmatiei","50"
"Bozanta Mare","Maramures","Baia Mare",""
"Bozanta Mica","Maramures","Baia Mare",""
"Breb","Maramures","Sighetu Marmatiei","25"
"Brebeni","Maramures","Baia Mare","32"
"Buciumi","Maramures","Baia Mare","30"
"Budesti","Maramures","Sighetu Marmatiei","27"
"Busag","Maramures","Baia Mare",""
"Buteasa","Maramures","Baia Mare","39"
"Buzesti","Maramures","Baia Mare","27"
"Calinesti","Maramures","Sighetu Marmatiei","20"
"Campulung la Tisa","Maramures","Sighetu Marmatiei",""
"Carbunari","Maramures","Baia Mare",""
"Carpinis","Maramures","Baia Mare","23"
"Catalina","Maramures","Baia Mare",""
"Cavnic","Maramures","Baia Mare","27"
"Cernesti","Maramures","Baia Mare","29"
"Cetatele","Maramures","Baia Mare",""
"Chechis","Maramures","Baia Mare",""
"Chelinta","Maramures","Baia Mare","39"
"Chiuzbaia","Maramures","Baia Mare",""
"Cicarlau","Maramures","Baia Mare",""
"Ciocotis","Maramures","Baia Mare","36"
"Ciolt","Maramures","Baia Mare","29"
"Ciuta","Maramures","Baia Mare","70"
"Coas","Maramures","Baia Mare",""
"Codru Butesii","Maramures","Baia Mare","35"
"Coltau","Maramures","Baia Mare",""
"Coltirea","Maramures","Baia Mare",""
"Copalnic","Maramures","Baia Mare","21"
"Copalnic-Deal","Maramures","Baia Mare","26"
"Copalnic-Manastur","Maramures","Baia Mare","23"
"Cornesti","Maramures","Sighetu Marmatiei",""
"Corni","Maramures","Baia Mare","65"
"Coroieni","Maramures","Baia Mare","57"
"Coruia","Maramures","Baia Mare",""
"Costeni","Maramures","Baia Mare","53"
"Costiui","Maramures","Sighetu Marmatiei",""
"Craciunesti","Maramures","Sighetu Marmatiei",""
"Crasna Viseului","Maramures","Sighetu Marmatiei","30"
"Cufoaia","Maramures","Baia Mare","39"
"Culcea","Maramures","Baia Mare",""
"Cupseni","Maramures","Baia Mare","61"
"Curtuiusu Mare","Maramures","Baia Mare","36"
"Curtuiusu Mic","Maramures","Baia Mare","25"
"Damacuseni","Maramures","Baia Mare","46"
"Danesti","Maramures","Baia Mare",""
"Danestii Chioarului","Maramures","Baia Mare","25"
"Dealu Corbului","Maramures","Baia Mare","41"
"Dealu Mare","Maramures","Baia Mare","64"
"Desesti","Maramures","Sighetu Marmatiei","23"
"Dobricu Lapusului","Maramures","Baia Mare","48"
"Draghia","Maramures","Baia Mare","60"
"Dragomiresti","Maramures","Sighetu Marmatiei","48"
"Dumbrava","Maramures","Baia Mare","46"
"Dumbravita","Maramures","Baia Mare",""
"Durusa","Maramures","Baia Mare","39"
"Fanate","Maramures","Baia Mare","33"
"Fantanele","Maramures","Baia Mare","54"
"Farcasa","Maramures","Baia Mare","30"
"Fauresti","Maramures","Baia Mare","23"
"Feresti","Maramures","Sighetu Marmatiei",""
"Fericea","Maramures","Baia Mare","43"
"Fersig","Maramures","Baia Mare","25"
"Finteusu Mare","Maramures","Baia Mare","24"
"Finteusu Mic","Maramures","Baia Mare",""
"Firiza","Maramures","Baia Mare",""
"Francenii Boiului","Maramures","Baia Mare","51"
"Gardani","Maramures","Baia Mare","36"
"Giulesti","Maramures","Sighetu Marmatiei",""
"Glod","Maramures","Sighetu Marmatiei","33"
"Groape","Maramures","Baia Mare","39"
"Grosi","Maramures","Baia Mare",""
"Grosii Tiblesului","Maramures","Baia Mare","65"
"Handalu Ilbei","Maramures","Baia Mare",""
"Harnicesti","Maramures","Sighetu Marmatiei","21"
"Hideaga","Maramures","Baia Mare",""
"Hoteni","Maramures","Sighetu Marmatiei","23"
"Hovrila","Maramures","Baia Mare","33"
"Iadara","Maramures","Baia Mare","37"
"Iapa","Maramures","Sighetu Marmatiei",""
"Ieud","Maramures","Sighetu Marmatiei","46"
"Ilba","Maramures","Baia Mare",""
"Inau","Maramures","Baia Mare","62"
"Intrerauri","Maramures","Baia Mare","31"
"Izvoarele","Maramures","Baia Mare","44"
"Jugastreni","Maramures","Baia Mare","56"
"Lapus","Maramures","Baia Mare","55"
"Lapusel","Maramures","Baia Mare",""
"Larga","Maramures","Baia Mare","63"
"Laschia","Maramures","Baia Mare","26"
"Lazu Baciului","Maramures","Sighetu Marmatiei",""
"Leordina","Maramures","Sighetu Marmatiei","42"
"Libotin","Maramures","Baia Mare","55"
"Lucacesti","Maramures","Baia Mare","28"
"Lunca la Tisa","Maramures","Sighetu Marmatiei",""
"Magureni","Maramures","Baia Mare","30"
"Manastirea","Maramures","Sighetu Marmatiei",""
"Manau","Maramures","Baia Mare","50"
"Mara","Maramures","Sighetu Marmatiei","25"
"Merisor","Maramures","Baia Mare",""
"Mesteacan","Maramures","Baia Mare","42"
"Miresu Mare","Maramures","Baia Mare","33"
"Mocira","Maramures","Baia Mare",""
"Mogosesti","Maramures","Baia Mare",""
"Moisei","Maramures","Sighetu Marmatiei","70"
"Nanesti","Maramures","Sighetu Marmatiei",""
"Negreia","Maramures","Baia Mare",""
"Nistru","Maramures","Baia Mare",""
"Oarta de Jos","Maramures","Baia Mare","56"
"Oarta de Sus","Maramures","Baia Mare","60"
"Ocna Sugatag","Maramures","Sighetu Marmatiei",""
"Ocolis","Maramures","Baia Mare",""
"Odesti","Maramures","Baia Mare","59"
"Oncesti","Maramures","Sighetu Marmatiei",""
"Ortita","Maramures","Baia Mare","59"
"Peteritea","Maramures","Baia Mare","50"
"Petrova","Maramures","Sighetu Marmatiei","35"
"Piatra","Maramures","Sighetu Marmatiei","34"
"Plopis","Maramures","Baia Mare","21"
"Poiana Botizii","Maramures","Baia Mare","69"
"Poienile de Sub Munte","Maramures","Sighetu Marmatiei","59"
"Poienile Izei","Maramures","Sighetu Marmatiei","37"
"Posta","Maramures","Baia Mare","25"
"Preluca Noua","Maramures","Baia Mare","31"
"Preluca Veche","Maramures","Baia Mare","34"
"Pribilesti","Maramures","Baia Mare",""
"Prislop","Maramures","Baia Mare","45"
"Razoare","Maramures","Baia Mare","48"
"Recea","Maramures","Baia Mare",""
"Remecioara","Maramures","Baia Mare","22"
"Remetea Chioarului","Maramures","Baia Mare",""
"Remeti","Maramures","Sighetu Marmatiei","25"
"Remeti pe Somes","Maramures","Baia Mare","36"
"Repedea","Maramures","Sighetu Marmatiei","55"
"Rodina","Maramures","Baia Mare","42"
"Rogoz","Maramures","Baia Mare","49"
"Rohia","Maramures","Baia Mare","49"
"Romanesti","Maramures","Baia Mare","53"
"Rona de Jos","Maramures","Sighetu Marmatiei",""
"Rona de Sus","Maramures","Sighetu Marmatiei",""
"Rozavlea","Maramures","Sighetu Marmatiei","30"
"Rus","Maramures","Baia Mare",""
"Ruscova","Maramures","Sighetu Marmatiei","46"
"Rusor","Maramures","Baia Mare","27"
"Sabisa","Maramures","Baia Mare",""
"Sacalaseni","Maramures","Baia Mare",""
"Sacel","Maramures","Sighetu Marmatiei","50"
"Saliste","Maramures","Baia Mare","59"
"Salistea de Sus","Maramures","Sighetu Marmatiei","52"
"Salnita","Maramures","Baia Mare","60"
"Salsig","Maramures","Baia Mare","40"
"Salta","Maramures","Baia Mare","75"
"Sapanta","Maramures","Sighetu Marmatiei",""
"Sarasau","Maramures","Sighetu Marmatiei",""
"Sarbi (Budesti)","Maramures","Sighetu Marmatiei","24"
"Sarbi (Farcasa)","Maramures","Baia Mare","30"
"Sasar","Maramures","Baia Mare",""
"Sat-sugatag","Maramures","Sighetu Marmatiei",""
"satu nou de jos","Maramures","Baia Mare",""
"Satu Nou de Sus","Maramures","Baia Mare",""
"Satulung","Maramures","Baia Mare",""
"Seini","Maramures","Baia Mare",""
"Sieu","Maramures","Sighetu Marmatiei","30"
"Sighetu Marmatiei","Maramures","Sighetu Marmatiei",""
"sindresti","Maramures","Baia Mare",""
"Sisesti","Maramures","Baia Mare",""
"Slatioara","Maramures","Sighetu Marmatiei","29"
"Somcuta Mare","Maramures","Baia Mare",""
"Somes-Uileac","Maramures","Baia Mare","52"
"Stejera","Maramures","Baia Mare","40"
"Stoiceni","Maramures","Baia Mare","48"
"Strambu-Baiut","Maramures","Baia Mare","65"
"Stramtura","Maramures","Sighetu Marmatiei","28"
"Stremt","Maramures","Baia Mare","59"
"Suciu de Jos","Maramures","Baia Mare","52"
"Suciu de Sus","Maramures","Baia Mare","57"
"Sugau","Maramures","Sighetu Marmatiei",""
"Surdesti","Maramures","Baia Mare",""
"Tamaia","Maramures","Baia Mare","30"
"Tamasesti","Maramures","Baia Mare","49"
"Targu Lapus","Maramures","Baia Mare",""
"Tautii de Sus","Maramures","Baia Mare",""
"Tautii-Magheraus","Maramures","Baia Mare",""
"Teceu Mic","Maramures","Sighetu Marmatiei","30"
"Ticau","Maramures","Baia Mare","45"
"Tisa","Maramures","Sighetu Marmatiei",""
"Tohat","Maramures","Baia Mare","35"
"Trestia","Maramures","Baia Mare","26"
"Tulghies","Maramures","Baia Mare","37"
"Ulmeni","Maramures","Baia Mare","46"
"Ulmoasa","Maramures","Baia Mare",""
"Unguras","Maramures","Baia Mare",""
"Ungureni","Maramures","Baia Mare","60"
"Urmenis","Maramures","Baia Mare","48"
"Vad","Maramures","Baia Mare","27"
"Vadu Izei","Maramures","Sighetu Marmatiei",""
"Valea Chioarului","Maramures","Baia Mare","35"
"Valea Cufundoasa","Maramures","Sighetu Marmatiei",""
"Valea Hotarului","Maramures","Sighetu Marmatiei",""
"Valea Neagra","Maramures","Baia Mare",""
"Valea Stejarului","Maramures","Sighetu Marmatiei",""
"Valea Viseului","Maramures","Sighetu Marmatiei","27"
"Valeni","Maramures","Sighetu Marmatiei","24"
"Valenii Lapusului","Maramures","Baia Mare","53"
"Valenii Somcutei","Maramures","Baia Mare","30"
"Varai","Maramures","Baia Mare","40"
"Vicea","Maramures","Baia Mare","50"
"Viile Apei","Maramures","Baia Mare",""
"Vima Mare","Maramures","Baia Mare","62"
"Vima Mica","Maramures","Baia Mare","59"
"Viseu de Jos","Maramures","Sighetu Marmatiei","53"
"Viseu de Mijloc","Maramures","Sighetu Marmatiei","58"
"Viseu de Sus","Maramures","Sighetu Marmatiei","60"
"23 August","Mehedinti","Drobeta-Turnu Severin",""
"Adunatii Teiului","Mehedinti","Drobeta-Turnu Severin","40"
"Albulesti","Mehedinti","Drobeta-Turnu Severin","45"
"Almajel","Mehedinti","Drobeta-Turnu Severin","50"
"Alunisul","Mehedinti","Drobeta-Turnu Severin",""
"Arginesti","Mehedinti","Drobeta-Turnu Severin","63"
"Arvatesti","Mehedinti","Drobeta-Turnu Severin",""
"Aurora","Mehedinti","Drobeta-Turnu Severin","60"
"Bacles","Mehedinti","Drobeta-Turnu Severin","48"
"Baditesti","Mehedinti","Drobeta-Turnu Severin",""
"Bahna","Mehedinti","Orsova",""
"Baia de Arama","Mehedinti","Drobeta-Turnu Severin","45"
"Baia Noua","Mehedinti","Orsova",""
"Bala","Mehedinti","Drobeta-Turnu Severin","40"
"Bala de Sus","Mehedinti","Drobeta-Turnu Severin","43"
"Balacita","Mehedinti","Drobeta-Turnu Severin","56"
"Balota","Mehedinti","Drobeta-Turnu Severin",""
"Balotesti","Mehedinti","Drobeta-Turnu Severin",""
"Balta","Mehedinti","Drobeta-Turnu Severin","43"
"Balta Verde","Mehedinti","Drobeta-Turnu Severin","47"
"Baltanele (Greci)","Mehedinti","Drobeta-Turnu Severin",""
"Baltanele (Prunisor)","Mehedinti","Drobeta-Turnu Severin",""
"Baluta","Mehedinti","Drobeta-Turnu Severin","65"
"Balvanesti","Mehedinti","Drobeta-Turnu Severin","23"
"Balvanestii de Jos","Mehedinti","Drobeta-Turnu Severin","22"
"Baraiacu","Mehedinti","Drobeta-Turnu Severin","65"
"Barda","Mehedinti","Drobeta-Turnu Severin",""
"Barlogeni","Mehedinti","Drobeta-Turnu Severin","50"
"Batoti","Mehedinti","Drobeta-Turnu Severin","20"
"Biban","Mehedinti","Drobeta-Turnu Severin","50"
"Bistretu","Mehedinti","Drobeta-Turnu Severin","33"
"Bistrita","Mehedinti","Drobeta-Turnu Severin",""
"Blidaru","Mehedinti","Drobeta-Turnu Severin","43"
"Bobaita","Mehedinti","Drobeta-Turnu Severin",""
"Boceni","Mehedinti","Drobeta-Turnu Severin","35"
"Borogea","Mehedinti","Drobeta-Turnu Severin","25"
"Bragleasa","Mehedinti","Drobeta-Turnu Severin","38"
"Branistea","Mehedinti","Drobeta-Turnu Severin","58"
"Branzeni","Mehedinti","Drobeta-Turnu Severin","55"
"Bratesul","Mehedinti","Drobeta-Turnu Severin","45"
"Bratilovu","Mehedinti","Drobeta-Turnu Severin","62"
"Brativoesti","Mehedinti","Drobeta-Turnu Severin","45"
"Brebina","Mehedinti","Drobeta-Turnu Severin","50"
"Breta","Mehedinti","Drobeta-Turnu Severin","54"
"Breznicioara","Mehedinti","Drobeta-Turnu Severin","51"
"Breznita-Motru","Mehedinti","Drobeta-Turnu Severin","56"
"Breznita-Ocol","Mehedinti","Drobeta-Turnu Severin",""
"Brosteni","Mehedinti","Drobeta-Turnu Severin","30"
"Bucura","Mehedinti","Drobeta-Turnu Severin","33"
"Budanesti","Mehedinti","Drobeta-Turnu Severin",""
"Buicani","Mehedinti","Drobeta-Turnu Severin","58"
"Buicesti","Mehedinti","Drobeta-Turnu Severin",""
"Bunoaica","Mehedinti","Drobeta-Turnu Severin","26"
"Burila Mare","Mehedinti","Drobeta-Turnu Severin","36"
"Burila Mica","Mehedinti","Drobeta-Turnu Severin","38"
"Busesti","Mehedinti","Drobeta-Turnu Severin","55"
"Butoiesti","Mehedinti","Drobeta-Turnu Severin","62"
"Calinestii de Jos","Mehedinti","Drobeta-Turnu Severin","28"
"Calinestii de Sus","Mehedinti","Drobeta-Turnu Severin","30"
"Campu Mare","Mehedinti","Drobeta-Turnu Severin","38"
"Capatanesti","Mehedinti","Drobeta-Turnu Severin","30"
"Caramidaru","Mehedinti","Drobeta-Turnu Severin","32"
"Carceni","Mehedinti","Drobeta-Turnu Severin","60"
"Carjei","Mehedinti","Drobeta-Turnu Severin",""
"Carsu","Mehedinti","Drobeta-Turnu Severin","52"
"Cazanesti","Mehedinti","Drobeta-Turnu Severin","26"
"Cearangu","Mehedinti","Drobeta-Turnu Severin","50"
"Celnata","Mehedinti","Drobeta-Turnu Severin",""
"Ceptureni","Mehedinti","Drobeta-Turnu Severin","61"
"Ceranganul","Mehedinti","Drobeta-Turnu Severin","61"
"Cernaia","Mehedinti","Drobeta-Turnu Severin","51"
"Cerna-Varf","Mehedinti","Drobeta-Turnu Severin","51"
"Cerneti","Mehedinti","Drobeta-Turnu Severin",""
"Cervenita","Mehedinti","Drobeta-Turnu Severin",""
"Ciochiuta","Mehedinti","Drobeta-Turnu Severin","41"
"Cioroboreni","Mehedinti","Drobeta-Turnu Severin","35"
"Ciovarnasani","Mehedinti","Drobeta-Turnu Severin",""
"Ciresu","Mehedinti","Drobeta-Turnu Severin","29"
"Coada Cornetului","Mehedinti","Drobeta-Turnu Severin","48"
"Cocorova","Mehedinti","Drobeta-Turnu Severin",""
"Colaret","Mehedinti","Drobeta-Turnu Severin","38"
"Colibasi","Mehedinti","Drobeta-Turnu Severin",""
"Comanda","Mehedinti","Drobeta-Turnu Severin","53"
"Comanesti","Mehedinti","Drobeta-Turnu Severin","55"
"Copacioasa","Mehedinti","Drobeta-Turnu Severin","36"
"Corcova","Mehedinti","Drobeta-Turnu Severin","41"
"Cordun","Mehedinti","Drobeta-Turnu Severin","38"
"Corlatel","Mehedinti","Drobeta-Turnu Severin","39"
"Corzu","Mehedinti","Drobeta-Turnu Severin","53"
"Cosovat","Mehedinti","Drobeta-Turnu Severin","66"
"Costesti","Mehedinti","Drobeta-Turnu Severin","52"
"Cotoroaia","Mehedinti","Drobeta-Turnu Severin","46"
"Cozia","Mehedinti","Drobeta-Turnu Severin","58"
"Cracu Lung","Mehedinti","Drobeta-Turnu Severin","32"
"Cracu Muntelui","Mehedinti","Drobeta-Turnu Severin","61"
"Craguesti","Mehedinti","Drobeta-Turnu Severin","21"
"Crainici","Mehedinti","Drobeta-Turnu Severin","50"
"Cremenea","Mehedinti","Drobeta-Turnu Severin","34"
"Crivina","Mehedinti","Drobeta-Turnu Severin","37"
"Croica","Mehedinti","Drobeta-Turnu Severin","50"
"Cujmir","Mehedinti","Drobeta-Turnu Severin","57"
"Cujmiru Mic","Mehedinti","Drobeta-Turnu Severin","60"
"Dalbocita","Mehedinti","Drobeta-Turnu Severin","32"
"Dalma","Mehedinti","Drobeta-Turnu Severin","46"
"Danceu","Mehedinti","Drobeta-Turnu Severin","35"
"Darvari","Mehedinti","Drobeta-Turnu Severin","38"
"Dealu Mare","Mehedinti","Drobeta-Turnu Severin","68"
"Dedovita Noua","Mehedinti","Drobeta-Turnu Severin",""
"Dedovita Veche","Mehedinti","Drobeta-Turnu Severin",""
"Deleni","Mehedinti","Drobeta-Turnu Severin","62"
"Delureni","Mehedinti","Drobeta-Turnu Severin","36"
"Devesel","Mehedinti","Drobeta-Turnu Severin","30"
"Dobra","Mehedinti","Drobeta-Turnu Severin","47"
"Draghesti","Mehedinti","Drobeta-Turnu Severin","57"
"Dragotesti","Mehedinti","Drobeta-Turnu Severin","32"
"Drincea","Mehedinti","Drobeta-Turnu Severin","55"
"Drobeta-Turnu Severin","Mehedinti","Drobeta-Turnu Severin",""
"Dubova","Mehedinti","Orsova","23"
"Dudasu","Mehedinti","Drobeta-Turnu Severin",""
"Dudasu Schelei","Mehedinti","Drobeta-Turnu Severin",""
"Dumbrava","Mehedinti","Drobeta-Turnu Severin","40"
"Dumbrava de Jos","Mehedinti","Drobeta-Turnu Severin","49"
"Dumbrava de Mijloc","Mehedinti","Drobeta-Turnu Severin","48"
"Dumbrava de Sus","Mehedinti","Drobeta-Turnu Severin","47"
"Dumbravita","Mehedinti","Drobeta-Turnu Severin",""
"Dunarea Mica","Mehedinti","Drobeta-Turnu Severin","24"
"Eibenthal","Mehedinti","Orsova","42"
"Ercea","Mehedinti","Drobeta-Turnu Severin","35"
"Erghevita","Mehedinti","Drobeta-Turnu Severin",""
"Eselnita","Mehedinti","Orsova",""
"Fantana Domneasca","Mehedinti","Drobeta-Turnu Severin","29"
"Fantanile Negre","Mehedinti","Drobeta-Turnu Severin","26"
"Fata Cremenii","Mehedinti","Drobeta-Turnu Severin","30"
"Fata Motrului","Mehedinti","Drobeta-Turnu Severin","51"
"Fauroaia","Mehedinti","Drobeta-Turnu Severin","64"
"Firizu","Mehedinti","Drobeta-Turnu Severin","33"
"Floresti","Mehedinti","Drobeta-Turnu Severin","33"
"Garbovatu de Jos","Mehedinti","Drobeta-Turnu Severin","39"
"Garbovatu de Sus","Mehedinti","Drobeta-Turnu Severin","29"
"Gardaneasa","Mehedinti","Drobeta-Turnu Severin","64"
"Gardoaia","Mehedinti","Drobeta-Turnu Severin","30"
"Garla Mare","Mehedinti","Drobeta-Turnu Severin","61"
"Garnita","Mehedinti","Drobeta-Turnu Severin",""
"Gemeni","Mehedinti","Drobeta-Turnu Severin","35"
"Ghelmegioaia","Mehedinti","Drobeta-Turnu Severin",""
"Gheorghesti","Mehedinti","Drobeta-Turnu Severin","56"
"Giura","Mehedinti","Drobeta-Turnu Severin","45"
"Giurgiani","Mehedinti","Drobeta-Turnu Severin","61"
"Goanta","Mehedinti","Drobeta-Turnu Severin","57"
"Godeanu","Mehedinti","Drobeta-Turnu Severin","30"
"Godeanu (Obarsia-Closani)","Mehedinti","Drobeta-Turnu Severin","55"
"Gogosu","Mehedinti","Drobeta-Turnu Severin","44"
"Golineasa","Mehedinti","Drobeta-Turnu Severin","46"
"Gornenti","Mehedinti","Drobeta-Turnu Severin","41"
"Gornovita","Mehedinti","Drobeta-Turnu Severin","55"
"Govodarva","Mehedinti","Drobeta-Turnu Severin",""
"Greci","Mehedinti","Drobeta-Turnu Severin","47"
"Grozesti","Mehedinti","Drobeta-Turnu Severin","65"
"Gruia","Mehedinti","Drobeta-Turnu Severin","51"
"Gura Motrului","Mehedinti","Drobeta-Turnu Severin",""
"Gura Vaii","Mehedinti","Drobeta-Turnu Severin",""
"Gutu","Mehedinti","Drobeta-Turnu Severin",""
"Gvardinita","Mehedinti","Drobeta-Turnu Severin","52"
"Halanga","Mehedinti","Drobeta-Turnu Severin",""
"Higiu","Mehedinti","Drobeta-Turnu Severin","46"
"Hinova","Mehedinti","Drobeta-Turnu Severin",""
"Hotarani","Mehedinti","Drobeta-Turnu Severin","31"
"Hurducesti","Mehedinti","Drobeta-Turnu Severin","43"
"Husnicioara","Mehedinti","Drobeta-Turnu Severin",""
"Iablanita","Mehedinti","Drobeta-Turnu Severin","54"
"Igiroasa","Mehedinti","Drobeta-Turnu Severin",""
"Ilovat","Mehedinti","Drobeta-Turnu Severin","28"
"Ilovita","Mehedinti","Orsova",""
"Ilovu","Mehedinti","Drobeta-Turnu Severin","27"
"Imoasa","Mehedinti","Drobeta-Turnu Severin","43"
"Isverna","Mehedinti","Drobeta-Turnu Severin","56"
"Iupca","Mehedinti","Drobeta-Turnu Severin","47"
"Izimsa","Mehedinti","Drobeta-Turnu Severin","60"
"Izvoarele","Mehedinti","Drobeta-Turnu Severin","50"
"Izvoralu","Mehedinti","Drobeta-Turnu Severin","33"
"Izvoralu de Jos","Mehedinti","Drobeta-Turnu Severin","27"
"Izvoru Anestilor","Mehedinti","Drobeta-Turnu Severin","22"
"Izvoru Barzii","Mehedinti","Drobeta-Turnu Severin",""
"Izvoru Frumos","Mehedinti","Drobeta-Turnu Severin","44"
"Jiana","Mehedinti","Drobeta-Turnu Severin","35"
"Jiana Mare","Mehedinti","Drobeta-Turnu Severin","36"
"Jiana Veche","Mehedinti","Drobeta-Turnu Severin","40"
"Jidostita","Mehedinti","Drobeta-Turnu Severin",""
"Jignita","Mehedinti","Drobeta-Turnu Severin","28"
"Jirov","Mehedinti","Drobeta-Turnu Severin","48"
"Jugastru","Mehedinti","Drobeta-Turnu Severin","56"
"Jupanesti","Mehedinti","Drobeta-Turnu Severin","31"
"Lac","Mehedinti","Drobeta-Turnu Severin","39"
"Lazu","Mehedinti","Drobeta-Turnu Severin",""
"Livezi","Mehedinti","Drobeta-Turnu Severin","36"
"Livezile","Mehedinti","Drobeta-Turnu Severin","24"
"Ludu","Mehedinti","Drobeta-Turnu Severin","66"
"Lumnic","Mehedinti","Drobeta-Turnu Severin",""
"Lunca Banului","Mehedinti","Drobeta-Turnu Severin","52"
"Luncsoara","Mehedinti","Drobeta-Turnu Severin","40"
"Lupsa de Jos","Mehedinti","Drobeta-Turnu Severin","35"
"Lupsa de Sus","Mehedinti","Drobeta-Turnu Severin","32"
"Magheru","Mehedinti","Drobeta-Turnu Severin",""
"Magurele","Mehedinti","Drobeta-Turnu Severin","46"
"Malarisca","Mehedinti","Drobeta-Turnu Severin","38"
"Malovat","Mehedinti","Drobeta-Turnu Severin",""
"Manu","Mehedinti","Drobeta-Turnu Severin","30"
"Marasesti","Mehedinti","Drobeta-Turnu Severin","35"
"Marga","Mehedinti","Drobeta-Turnu Severin","33"
"Marmanu","Mehedinti","Drobeta-Turnu Severin",""
"Maru Rosu","Mehedinti","Drobeta-Turnu Severin","50"
"Menti","Mehedinti","Drobeta-Turnu Severin","66"
"Meris","Mehedinti","Drobeta-Turnu Severin","35"
"Mijarca","Mehedinti","Drobeta-Turnu Severin",""
"Moisesti","Mehedinti","Drobeta-Turnu Severin","34"
"Molani","Mehedinti","Drobeta-Turnu Severin","54"
"Mosneni","Mehedinti","Drobeta-Turnu Severin","28"
"Motruleni","Mehedinti","Drobeta-Turnu Severin","65"
"Nadanova","Mehedinti","Drobeta-Turnu Severin","51"
"Negoesti","Mehedinti","Drobeta-Turnu Severin","45"
"Negresti","Mehedinti","Drobeta-Turnu Severin",""
"Negrusa","Mehedinti","Drobeta-Turnu Severin","34"
"Nevatu","Mehedinti","Drobeta-Turnu Severin","35"
"Nicolae Balcescu","Mehedinti","Drobeta-Turnu Severin","36"
"Noaptesa","Mehedinti","Drobeta-Turnu Severin","39"
"Obarsia de Camp","Mehedinti","Drobeta-Turnu Severin","37"
"Obarsia-Closani","Mehedinti","Drobeta-Turnu Severin","65"
"Ohaba","Mehedinti","Drobeta-Turnu Severin","40"
"Olteanca","Mehedinti","Drobeta-Turnu Severin","50"
"Opranesti","Mehedinti","Drobeta-Turnu Severin",""
"Oprisor","Mehedinti","Drobeta-Turnu Severin","58"
"Orevita Mare","Mehedinti","Drobeta-Turnu Severin","37"
"Orsova","Mehedinti","Orsova",""
"Ostrovu Corbului","Mehedinti","Drobeta-Turnu Severin",""
"Ostrovu Mare","Mehedinti","Drobeta-Turnu Severin","50"
"Padina","Mehedinti","Drobeta-Turnu Severin","33"
"Padina Mare","Mehedinti","Drobeta-Turnu Severin","34"
"Padina Mica","Mehedinti","Drobeta-Turnu Severin","35"
"Paltinisu","Mehedinti","Drobeta-Turnu Severin","26"
"Parlagele","Mehedinti","Drobeta-Turnu Severin",""
"Parvulesti","Mehedinti","Drobeta-Turnu Severin","28"
"Pasarani","Mehedinti","Drobeta-Turnu Severin","75"
"Patulele","Mehedinti","Drobeta-Turnu Severin","40"
"Paunesti","Mehedinti","Drobeta-Turnu Severin","32"
"Pavat","Mehedinti","Drobeta-Turnu Severin","39"
"Peri","Mehedinti","Drobeta-Turnu Severin","23"
"Pesteana","Mehedinti","Drobeta-Turnu Severin","39"
"Pestenuta","Mehedinti","Drobeta-Turnu Severin","32"
"Petra","Mehedinti","Drobeta-Turnu Severin","51"
"Petris","Mehedinti","Drobeta-Turnu Severin",""
"Pistrita","Mehedinti","Drobeta-Turnu Severin","50"
"Plai","Mehedinti","Drobeta-Turnu Severin","67"
"Plopi","Mehedinti","Drobeta-Turnu Severin","36"
"Pluta","Mehedinti","Drobeta-Turnu Severin","56"
"Podeni","Mehedinti","Drobeta-Turnu Severin","37"
"Podu Grosului","Mehedinti","Drobeta-Turnu Severin","47"
"Poiana","Mehedinti","Drobeta-Turnu Severin","33"
"Poiana Gruii","Mehedinti","Drobeta-Turnu Severin","52"
"Ponoarele","Mehedinti","Drobeta-Turnu Severin","55"
"Poroina","Mehedinti","Drobeta-Turnu Severin",""
"Poroina Mare","Mehedinti","Drobeta-Turnu Severin","35"
"Poroinita","Mehedinti","Drobeta-Turnu Severin","28"
"Portile de Fier II","Mehedinti","Drobeta-Turnu Severin","53"
"Posta Veche","Mehedinti","Drobeta-Turnu Severin","51"
"Prejna","Mehedinti","Drobeta-Turnu Severin","51"
"Priboiesti","Mehedinti","Drobeta-Turnu Severin",""
"Prisaceaua","Mehedinti","Drobeta-Turnu Severin","49"
"Pristol","Mehedinti","Drobeta-Turnu Severin","56"
"Proitesti","Mehedinti","Drobeta-Turnu Severin","57"
"Prunaru","Mehedinti","Drobeta-Turnu Severin",""
"Prunisor","Mehedinti","Drobeta-Turnu Severin","24"
"Punghina","Mehedinti","Drobeta-Turnu Severin","50"
"Puscasu","Mehedinti","Drobeta-Turnu Severin","48"
"Putinei","Mehedinti","Drobeta-Turnu Severin",""
"Racova","Mehedinti","Drobeta-Turnu Severin","26"
"Radutesti","Mehedinti","Drobeta-Turnu Severin","60"
"Raiculesti","Mehedinti","Drobeta-Turnu Severin","67"
